Complexname,Binders SMILES
4ESG_A_2_B,C[C@H]1CN(C[C@@H](C)N1C)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cc(ccc1F)C(=O)NC1CCCCC1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1c[nH]c(=O)c(Cl)c1)N(C)C
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1c[nH]c(=O)c(Cl)c1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cn(C)c(=O)cc1C)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1nc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)C1CN(C)C(=O)N(C)C1)N(C)C
1YCR_A_2_B,CNc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2c[nH]c(=O)c(Cl)c2)c(OC)n1
2XA0_A_2_B,CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCCN4CCOCC4)c(c3)S(=O)(=O)C(F)(F)F)c(Oc3ccc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1
1YCR_A_2_B,CN1[C@H]([C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc23)C11CCCCC1)c1nc(C(O)=O)c(C)o1
2RNY_A_2_B,CNC(=O)N1CCc2c(C1)c(Nc1cc(C(F)F)c(cc1F)-c1cnn(C)c1)nn2C1CCS(=O)(=O)CC1
2XA0_A_2_B,CN1CCC(CC1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)NC(=O)c1ccc(cc1Oc1ccc2[nH]ccc2c1)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1
1YCR_A_2_B,CN1[C@H]([C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc23)C11CCCCC1)c1nnc(C)s1
1YCR_A_2_B,CN1[C@H]([C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc23)C11CCCCC1)c1nc(CC(O)=O)cs1
2RNY_A_2_B,CNC(=O)N1CCc2c(C1)c(Nc1cc(C(F)F)c(cc1F)-c1cnn(C)c1)nn2C1CCN(CC1)C(C)=O
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1c[nH]c(=O)c(Cl)c1)N(C)C
1YCR_A_2_B,CN1[C@H]([C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc23)C11CCCCC1)c1nc(cs1)C(O)=O
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1c[nH]c(=O)c(Cl)c1
1YCR_A_2_B,CN1[C@H]([C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc23)C11CCCCC1)c1nc(co1)C(O)=O
1YCR_A_2_B,Cc1ccccc1S(=O)(=O)C[C@H](C1CC1)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
1YCR_A_2_B,COc1nc(N)ncc1-c1nc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)C1CN(C)C(=O)N(C)C1
1YCR_A_2_B,COc1ccccc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1C)c1cc(Cl)ccc1C
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)ccc1C#N)N(C)C
2XA0_A_2_B,CN1CCC(CC1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)NC(=O)c1ccc(cc1Oc1cnc(N)c(Cl)c1)N1CCN(CC2=C(CC(C)(C)CC2)c2ccc(Cl)cc2)CC1
1YCR_A_2_B,CNc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2cc(Cl)ccc2C)c(OC)n1
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)ccc1C
1YCR_A_2_B,COc1ncncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)ccc1C
1YCR_A_2_B,CNC(=O)c1ccc(OC)c(c1)-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1C)c1cc(Cl)ccc1C
1YCR_A_2_B,COc1ncccc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1C)c1cccc(Cl)c1F
1YCR_A_2_B,CNC(=O)c1ccc(OC)c(c1)-c1cc2C(=O)N([C@H](c2n1C(C)C)c1ccc(Cl)cc1C)c1cc(Cl)ccc1C
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2ccc(F)c(Cl)c2)c(OC)n1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2cccc(Cl)c2F)c(OC)n1
1YCR_A_2_B,COC[C@@H](C)n1c(cc2C(=O)N(C(c12)c1ccc(cc1)C#N)c1ccc(F)c(Cl)c1)-c1cnc(OC)nc1OC
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)ccc1C
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cn2)c2cc(Cl)ccc2C)c(OC)n1
1YCR_A_2_B,COc1nc(N)ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)ccc1C#N
